Algorithm,Connectivity,Steps,File,Start
Tremaux,0,393,M0_1.mz,"[0, 1"]
Modified,0,19,M0_1.mz,"[0, 1"]
Tremaux,0,43,M0_1.mz,"[1, 14"]
Modified,0,21,M0_1.mz,"[1, 14"]
Tremaux,0,253,M0_1.mz,"[2, 3"]
Modified,0,19,M0_1.mz,"[2, 3"]
Tremaux,0,721,M0_1.mz,"[3, 12"]
Modified,0,19,M0_1.mz,"[3, 12"]
Tremaux,0,539,M0_1.mz,"[6, 7"]
Modified,0,9,M0_1.mz,"[6, 7"]
Tremaux,0,187,M0_1.mz,"[7, 6"]
Modified,0,7,M0_1.mz,"[7, 6"]
Tremaux,0,439,M0_1.mz,"[7, 8"]
Modified,0,7,M0_1.mz,"[7, 8"]
Tremaux,0,787,M0_1.mz,"[8, 7"]
Modified,0,5,M0_1.mz,"[8, 7"]
Tremaux,0,53,M0_1.mz,"[11, 2"]
Modified,0,11,M0_1.mz,"[11, 2"]
Tremaux,0,785,M0_1.mz,"[12, 11"]
Modified,0,9,M0_1.mz,"[12, 11"]
Tremaux,0,693,M0_1.mz,"[13, 0"]
Modified,0,13,M0_1.mz,"[13, 0"]
Tremaux,0,463,M0_1.mz,"[14, 13"]
Modified,0,17,M0_1.mz,"[14, 13"]
Tremaux,0,247,M0_10.mz,"[0, 1"]
Modified,0,17,M0_10.mz,"[0, 1"]
Tremaux,0,229,M0_10.mz,"[1, 14"]
Modified,0,19,M0_10.mz,"[1, 14"]
Tremaux,0,461,M0_10.mz,"[2, 3"]
Modified,0,11,M0_10.mz,"[2, 3"]
Tremaux,0,623,M0_10.mz,"[3, 12"]
Modified,0,7,M0_10.mz,"[3, 12"]
Tremaux,0,19,M0_10.mz,"[6, 7"]
Modified,0,5,M0_10.mz,"[6, 7"]
Tremaux,0,99,M0_10.mz,"[7, 6"]
Modified,0,7,M0_10.mz,"[7, 6"]
Tremaux,0,3,M0_10.mz,"[7, 8"]
Modified,0,3,M0_10.mz,"[7, 8"]
Tremaux,0,603,M0_10.mz,"[8, 7"]
Modified,0,5,M0_10.mz,"[8, 7"]
Tremaux,0,433,M0_10.mz,"[11, 2"]
Modified,0,15,M0_10.mz,"[11, 2"]
Tremaux,0,481,M0_10.mz,"[12, 11"]
Modified,0,11,M0_10.mz,"[12, 11"]
Tremaux,0,243,M0_10.mz,"[13, 0"]
Modified,0,19,M0_10.mz,"[13, 0"]
Tremaux,0,451,M0_10.mz,"[14, 13"]
Modified,0,19,M0_10.mz,"[14, 13"]
Tremaux,0,609,M0_2.mz,"[0, 1"]
Modified,0,11,M0_2.mz,"[0, 1"]
Tremaux,0,161,M0_2.mz,"[1, 14"]
Modified,0,423,M0_2.mz,"[1, 14"]
Tremaux,0,133,M0_2.mz,"[2, 3"]
Modified,0,11,M0_2.mz,"[2, 3"]
Tremaux,0,683,M0_2.mz,"[3, 12"]
Modified,0,289,M0_2.mz,"[3, 12"]
Tremaux,0,143,M0_2.mz,"[6, 7"]
Modified,0,275,M0_2.mz,"[6, 7"]
Tremaux,0,231,M0_2.mz,"[7, 6"]
Modified,0,173,M0_2.mz,"[7, 6"]
Tremaux,0,577,M0_2.mz,"[7, 8"]
Modified,0,15,M0_2.mz,"[7, 8"]
Tremaux,0,395,M0_2.mz,"[8, 7"]
Modified,0,11,M0_2.mz,"[8, 7"]
Tremaux,0,17,M0_2.mz,"[11, 2"]
Modified,0,47,M0_2.mz,"[11, 2"]
Tremaux,0,275,M0_2.mz,"[12, 11"]
Modified,0,15,M0_2.mz,"[12, 11"]
Tremaux,0,59,M0_2.mz,"[13, 0"]
Modified,0,7,M0_2.mz,"[13, 0"]
Tremaux,0,501,M0_2.mz,"[14, 13"]
Modified,0,207,M0_2.mz,"[14, 13"]
Tremaux,0,754,M0_3.mz,"[0, 1"]
Modified,0,450,M0_3.mz,"[0, 1"]
Tremaux,0,772,M0_3.mz,"[1, 14"]
Modified,0,16,M0_3.mz,"[1, 14"]
Tremaux,0,94,M0_3.mz,"[2, 3"]
Modified,0,346,M0_3.mz,"[2, 3"]
Tremaux,0,282,M0_3.mz,"[3, 12"]
Modified,0,152,M0_3.mz,"[3, 12"]
Tremaux,0,274,M0_3.mz,"[6, 7"]
Modified,0,14,M0_3.mz,"[6, 7"]
Tremaux,0,712,M0_3.mz,"[7, 6"]
Modified,0,218,M0_3.mz,"[7, 6"]
Tremaux,0,510,M0_3.mz,"[7, 8"]
Modified,0,270,M0_3.mz,"[7, 8"]
Tremaux,0,312,M0_3.mz,"[8, 7"]
Modified,0,12,M0_3.mz,"[8, 7"]
Tremaux,0,764,M0_3.mz,"[11, 2"]
Modified,0,16,M0_3.mz,"[11, 2"]
Tremaux,0,788,M0_3.mz,"[12, 11"]
Modified,0,48,M0_3.mz,"[12, 11"]
Tremaux,0,674,M0_3.mz,"[13, 0"]
Modified,0,16,M0_3.mz,"[13, 0"]
Tremaux,0,2,M0_3.mz,"[14, 13"]
Modified,0,2,M0_3.mz,"[14, 13"]
Tremaux,0,222,M0_4.mz,"[0, 1"]
Modified,0,6,M0_4.mz,"[0, 1"]
Tremaux,0,358,M0_4.mz,"[1, 14"]
Modified,0,18,M0_4.mz,"[1, 14"]
Tremaux,0,186,M0_4.mz,"[2, 3"]
Modified,0,6,M0_4.mz,"[2, 3"]
Tremaux,0,378,M0_4.mz,"[3, 12"]
Modified,0,14,M0_4.mz,"[3, 12"]
Tremaux,0,194,M0_4.mz,"[6, 7"]
Modified,0,6,M0_4.mz,"[6, 7"]
Tremaux,0,14,M0_4.mz,"[7, 6"]
Modified,0,6,M0_4.mz,"[7, 6"]
Tremaux,0,548,M0_4.mz,"[7, 8"]
Modified,0,8,M0_4.mz,"[7, 8"]
Tremaux,0,144,M0_4.mz,"[8, 7"]
Modified,0,8,M0_4.mz,"[8, 7"]
Tremaux,0,350,M0_4.mz,"[11, 2"]
Modified,0,6,M0_4.mz,"[11, 2"]
Tremaux,0,354,M0_4.mz,"[12, 11"]
Modified,0,16,M0_4.mz,"[12, 11"]
Tremaux,0,74,M0_4.mz,"[13, 0"]
Modified,0,8,M0_4.mz,"[13, 0"]
Tremaux,0,246,M0_4.mz,"[14, 13"]
Modified,0,20,M0_4.mz,"[14, 13"]
Tremaux,0,128,M0_5.mz,"[0, 1"]
Modified,0,8,M0_5.mz,"[0, 1"]
Tremaux,0,344,M0_5.mz,"[1, 14"]
Modified,0,12,M0_5.mz,"[1, 14"]
Tremaux,0,42,M0_5.mz,"[2, 3"]
Modified,0,4,M0_5.mz,"[2, 3"]
Tremaux,0,312,M0_5.mz,"[3, 12"]
Modified,0,8,M0_5.mz,"[3, 12"]
Tremaux,0,30,M0_5.mz,"[6, 7"]
Modified,0,4,M0_5.mz,"[6, 7"]
Tremaux,0,402,M0_5.mz,"[7, 6"]
Modified,0,4,M0_5.mz,"[7, 6"]
Tremaux,0,166,M0_5.mz,"[7, 8"]
Modified,0,6,M0_5.mz,"[7, 8"]
Tremaux,0,104,M0_5.mz,"[8, 7"]
Modified,0,6,M0_5.mz,"[8, 7"]
Tremaux,0,532,M0_5.mz,"[11, 2"]
Modified,0,10,M0_5.mz,"[11, 2"]
Tremaux,0,162,M0_5.mz,"[12, 11"]
Modified,0,14,M0_5.mz,"[12, 11"]
Tremaux,0,234,M0_5.mz,"[13, 0"]
Modified,0,14,M0_5.mz,"[13, 0"]
Tremaux,0,98,M0_5.mz,"[14, 13"]
Modified,0,18,M0_5.mz,"[14, 13"]
Tremaux,0,760,M0_6.mz,"[0, 1"]
Modified,0,20,M0_6.mz,"[0, 1"]
Tremaux,0,26,M0_6.mz,"[1, 14"]
Modified,0,8,M0_6.mz,"[1, 14"]
Tremaux,0,750,M0_6.mz,"[2, 3"]
Modified,0,16,M0_6.mz,"[2, 3"]
Tremaux,0,56,M0_6.mz,"[3, 12"]
Modified,0,6,M0_6.mz,"[3, 12"]
Tremaux,0,506,M0_6.mz,"[6, 7"]
Modified,0,8,M0_6.mz,"[6, 7"]
Tremaux,0,380,M0_6.mz,"[7, 6"]
Modified,0,8,M0_6.mz,"[7, 6"]
Tremaux,0,302,M0_6.mz,"[7, 8"]
Modified,0,6,M0_6.mz,"[7, 8"]
Tremaux,0,554,M0_6.mz,"[8, 7"]
Modified,0,8,M0_6.mz,"[8, 7"]
Tremaux,0,316,M0_6.mz,"[11, 2"]
Modified,0,16,M0_6.mz,"[11, 2"]
Tremaux,0,474,M0_6.mz,"[12, 11"]
Modified,0,10,M0_6.mz,"[12, 11"]
Tremaux,0,660,M0_6.mz,"[13, 0"]
Modified,0,20,M0_6.mz,"[13, 0"]
Tremaux,0,522,M0_6.mz,"[14, 13"]
Modified,0,10,M0_6.mz,"[14, 13"]
Tremaux,0,463,M0_7.mz,"[0, 1"]
Modified,0,13,M0_7.mz,"[0, 1"]
Tremaux,0,645,M0_7.mz,"[1, 14"]
Modified,0,1,M0_7.mz,"[1, 14"]
Tremaux,0,45,M0_7.mz,"[2, 3"]
Modified,0,13,M0_7.mz,"[2, 3"]
Tremaux,0,85,M0_7.mz,"[3, 12"]
Modified,0,5,M0_7.mz,"[3, 12"]
Tremaux,0,547,M0_7.mz,"[6, 7"]
Modified,0,13,M0_7.mz,"[6, 7"]
Tremaux,0,645,M0_7.mz,"[7, 6"]
Modified,0,15,M0_7.mz,"[7, 6"]
Tremaux,0,603,M0_7.mz,"[7, 8"]
Modified,0,13,M0_7.mz,"[7, 8"]
Tremaux,0,157,M0_7.mz,"[8, 7"]
Modified,0,15,M0_7.mz,"[8, 7"]
Tremaux,0,95,M0_7.mz,"[11, 2"]
Modified,0,23,M0_7.mz,"[11, 2"]
Tremaux,0,645,M0_7.mz,"[12, 11"]
Modified,0,15,M0_7.mz,"[12, 11"]
Tremaux,0,73,M0_7.mz,"[13, 0"]
Modified,0,27,M0_7.mz,"[13, 0"]
Tremaux,0,729,M0_7.mz,"[14, 13"]
Modified,0,15,M0_7.mz,"[14, 13"]
Tremaux,0,38,M0_8.mz,"[0, 1"]
Modified,0,10,M0_8.mz,"[0, 1"]
Tremaux,0,644,M0_8.mz,"[1, 14"]
Modified,0,10,M0_8.mz,"[1, 14"]
Tremaux,0,186,M0_8.mz,"[2, 3"]
Modified,0,10,M0_8.mz,"[2, 3"]
Tremaux,0,360,M0_8.mz,"[3, 12"]
Modified,0,12,M0_8.mz,"[3, 12"]
Tremaux,0,100,M0_8.mz,"[6, 7"]
Modified,0,4,M0_8.mz,"[6, 7"]
Tremaux,0,560,M0_8.mz,"[7, 6"]
Modified,0,6,M0_8.mz,"[7, 6"]
Tremaux,0,764,M0_8.mz,"[7, 8"]
Modified,0,6,M0_8.mz,"[7, 8"]
Tremaux,0,320,M0_8.mz,"[8, 7"]
Modified,0,6,M0_8.mz,"[8, 7"]
Tremaux,0,632,M0_8.mz,"[11, 2"]
Modified,0,14,M0_8.mz,"[11, 2"]
Tremaux,0,198,M0_8.mz,"[12, 11"]
Modified,0,14,M0_8.mz,"[12, 11"]
Tremaux,0,114,M0_8.mz,"[13, 0"]
Modified,0,18,M0_8.mz,"[13, 0"]
Tremaux,0,310,M0_8.mz,"[14, 13"]
Modified,0,18,M0_8.mz,"[14, 13"]
Tremaux,0,105,M0_9.mz,"[0, 1"]
Modified,0,19,M0_9.mz,"[0, 1"]
Tremaux,0,63,M0_9.mz,"[1, 14"]
Modified,0,17,M0_9.mz,"[1, 14"]
Tremaux,0,79,M0_9.mz,"[2, 3"]
Modified,0,15,M0_9.mz,"[2, 3"]
Tremaux,0,717,M0_9.mz,"[3, 12"]
Modified,0,9,M0_9.mz,"[3, 12"]
Tremaux,0,255,M0_9.mz,"[6, 7"]
Modified,0,7,M0_9.mz,"[6, 7"]
Tremaux,0,363,M0_9.mz,"[7, 6"]
Modified,0,7,M0_9.mz,"[7, 6"]
Tremaux,0,435,M0_9.mz,"[7, 8"]
Modified,0,5,M0_9.mz,"[7, 8"]
Tremaux,0,625,M0_9.mz,"[8, 7"]
Modified,0,5,M0_9.mz,"[8, 7"]
Tremaux,0,291,M0_9.mz,"[11, 2"]
Modified,0,11,M0_9.mz,"[11, 2"]
Tremaux,0,35,M0_9.mz,"[12, 11"]
Modified,0,5,M0_9.mz,"[12, 11"]
Tremaux,0,167,M0_9.mz,"[13, 0"]
Modified,0,17,M0_9.mz,"[13, 0"]
Tremaux,0,235,M0_9.mz,"[14, 13"]
Modified,0,9,M0_9.mz,"[14, 13"]
Tremaux,30,451,M30_1.mz,"[0, 0"]
Modified,30,27,M30_1.mz,"[0, 0"]
Tremaux,30,104,M30_1.mz,"[0, 9"]
Modified,30,224,M30_1.mz,"[0, 9"]
Tremaux,30,261,M30_1.mz,"[0, 14"]
Modified,30,25,M30_1.mz,"[0, 14"]
Tremaux,30,500,M30_1.mz,"[5, 0"]
Modified,30,22,M30_1.mz,"[5, 0"]
Tremaux,30,551,M30_1.mz,"[5, 5"]
Modified,30,3,M30_1.mz,"[5, 5"]
Tremaux,30,291,M30_1.mz,"[5, 9"]
Modified,30,31,M30_1.mz,"[5, 9"]
Tremaux,30,7,M30_1.mz,"[9, 5"]
Modified,30,7,M30_1.mz,"[9, 5"]
Tremaux,30,391,M30_1.mz,"[9, 9"]
Modified,30,21,M30_1.mz,"[9, 9"]
Tremaux,30,88,M30_1.mz,"[9, 14"]
Modified,30,26,M30_1.mz,"[9, 14"]
Tremaux,30,377,M30_1.mz,"[14, 0"]
Modified,30,77,M30_1.mz,"[14, 0"]
Tremaux,30,266,M30_1.mz,"[14, 5"]
Modified,30,14,M30_1.mz,"[14, 5"]
Tremaux,30,167,M30_1.mz,"[14, 14"]
Modified,30,213,M30_1.mz,"[14, 14"]
Tremaux,30,34,M30_10.mz,"[0, 0"]
Modified,30,38,M30_10.mz,"[0, 0"]
Tremaux,30,559,M30_10.mz,"[0, 9"]
Modified,30,1,M30_10.mz,"[0, 9"]
Tremaux,30,226,M30_10.mz,"[0, 14"]
Modified,30,14,M30_10.mz,"[0, 14"]
Tremaux,30,131,M30_10.mz,"[5, 0"]
Modified,30,23,M30_10.mz,"[5, 0"]
Tremaux,30,60,M30_10.mz,"[5, 5"]
Modified,30,168,M30_10.mz,"[5, 5"]
Tremaux,30,254,M30_10.mz,"[5, 9"]
Modified,30,86,M30_10.mz,"[5, 9"]
Tremaux,30,402,M30_10.mz,"[9, 5"]
Modified,30,58,M30_10.mz,"[9, 5"]
Tremaux,30,266,M30_10.mz,"[9, 9"]
Modified,30,64,M30_10.mz,"[9, 9"]
Tremaux,30,117,M30_10.mz,"[9, 14"]
Modified,30,501,M30_10.mz,"[9, 14"]
Tremaux,30,454,M30_10.mz,"[14, 0"]
Modified,30,112,M30_10.mz,"[14, 0"]
Tremaux,30,69,M30_10.mz,"[14, 5"]
Modified,30,377,M30_10.mz,"[14, 5"]
Tremaux,30,102,M30_10.mz,"[14, 14"]
Modified,30,478,M30_10.mz,"[14, 14"]
Tremaux,30,352,M30_2.mz,"[0, 0"]
Modified,30,34,M30_2.mz,"[0, 0"]
Tremaux,30,91,M30_2.mz,"[0, 9"]
Modified,30,39,M30_2.mz,"[0, 9"]
Tremaux,30,510,M30_2.mz,"[0, 14"]
Modified,30,32,M30_2.mz,"[0, 14"]
Tremaux,30,333,M30_2.mz,"[5, 0"]
Modified,30,25,M30_2.mz,"[5, 0"]
Tremaux,30,526,M30_2.mz,"[5, 5"]
Modified,30,16,M30_2.mz,"[5, 5"]
Tremaux,30,128,M30_2.mz,"[5, 9"]
Modified,30,30,M30_2.mz,"[5, 9"]
Tremaux,30,408,M30_2.mz,"[9, 5"]
Modified,30,6,M30_2.mz,"[9, 5"]
Tremaux,30,8,M30_2.mz,"[9, 9"]
Modified,30,8,M30_2.mz,"[9, 9"]
Tremaux,30,533,M30_2.mz,"[9, 14"]
Modified,30,17,M30_2.mz,"[9, 14"]
Tremaux,30,418,M30_2.mz,"[14, 0"]
Modified,30,16,M30_2.mz,"[14, 0"]
Tremaux,30,585,M30_2.mz,"[14, 5"]
Modified,30,7,M30_2.mz,"[14, 5"]
Tremaux,30,540,M30_2.mz,"[14, 14"]
Modified,30,14,M30_2.mz,"[14, 14"]
Tremaux,30,287,M30_3.mz,"[0, 0"]
Modified,30,45,M30_3.mz,"[0, 0"]
Tremaux,30,154,M30_3.mz,"[0, 9"]
Modified,30,34,M30_3.mz,"[0, 9"]
Tremaux,30,153,M30_3.mz,"[0, 14"]
Modified,30,39,M30_3.mz,"[0, 14"]
Tremaux,30,302,M30_3.mz,"[5, 0"]
Modified,30,30,M30_3.mz,"[5, 0"]
Tremaux,30,433,M30_3.mz,"[5, 5"]
Modified,30,39,M30_3.mz,"[5, 5"]
Tremaux,30,65,M30_3.mz,"[5, 9"]
Modified,30,29,M30_3.mz,"[5, 9"]
Tremaux,30,293,M30_3.mz,"[9, 5"]
Modified,30,41,M30_3.mz,"[9, 5"]
Tremaux,30,65,M30_3.mz,"[9, 9"]
Modified,30,87,M30_3.mz,"[9, 9"]
Tremaux,30,318,M30_3.mz,"[9, 14"]
Modified,30,26,M30_3.mz,"[9, 14"]
Tremaux,30,523,M30_3.mz,"[14, 0"]
Modified,30,11,M30_3.mz,"[14, 0"]
Tremaux,30,90,M30_3.mz,"[14, 5"]
Modified,30,82,M30_3.mz,"[14, 5"]
Tremaux,30,105,M30_3.mz,"[14, 14"]
Modified,30,73,M30_3.mz,"[14, 14"]
Tremaux,30,172,M30_4.mz,"[0, 0"]
Modified,30,50,M30_4.mz,"[0, 0"]
Tremaux,30,273,M30_4.mz,"[0, 9"]
Modified,30,35,M30_4.mz,"[0, 9"]
Tremaux,30,276,M30_4.mz,"[0, 14"]
Modified,30,36,M30_4.mz,"[0, 14"]
Tremaux,30,261,M30_4.mz,"[5, 0"]
Modified,30,39,M30_4.mz,"[5, 0"]
Tremaux,30,250,M30_4.mz,"[5, 5"]
Modified,30,42,M30_4.mz,"[5, 5"]
Tremaux,30,404,M30_4.mz,"[5, 9"]
Modified,30,42,M30_4.mz,"[5, 9"]
Tremaux,30,66,M30_4.mz,"[9, 5"]
Modified,30,64,M30_4.mz,"[9, 5"]
Tremaux,30,286,M30_4.mz,"[9, 9"]
Modified,30,84,M30_4.mz,"[9, 9"]
Tremaux,30,277,M30_4.mz,"[9, 14"]
Modified,30,21,M30_4.mz,"[9, 14"]
Tremaux,30,512,M30_4.mz,"[14, 0"]
Modified,30,92,M30_4.mz,"[14, 0"]
Tremaux,30,325,M30_4.mz,"[14, 5"]
Modified,30,5,M30_4.mz,"[14, 5"]
Tremaux,30,384,M30_4.mz,"[14, 14"]
Modified,30,16,M30_4.mz,"[14, 14"]
Tremaux,30,453,M30_5.mz,"[0, 0"]
Modified,30,29,M30_5.mz,"[0, 0"]
Tremaux,30,0,M30_5.mz,"[0, 9"]
Modified,30,0,M30_5.mz,"[0, 9"]
Tremaux,30,539,M30_5.mz,"[0, 14"]
Modified,30,7,M30_5.mz,"[0, 14"]
Tremaux,30,148,M30_5.mz,"[5, 0"]
Modified,30,98,M30_5.mz,"[5, 0"]
Tremaux,30,481,M30_5.mz,"[5, 5"]
Modified,30,75,M30_5.mz,"[5, 5"]
Tremaux,30,539,M30_5.mz,"[5, 9"]
Modified,30,131,M30_5.mz,"[5, 9"]
Tremaux,30,301,M30_5.mz,"[9, 5"]
Modified,30,203,M30_5.mz,"[9, 5"]
Tremaux,30,371,M30_5.mz,"[9, 9"]
Modified,30,231,M30_5.mz,"[9, 9"]
Tremaux,30,64,M30_5.mz,"[9, 14"]
Modified,30,42,M30_5.mz,"[9, 14"]
Tremaux,30,215,M30_5.mz,"[14, 0"]
Modified,30,49,M30_5.mz,"[14, 0"]
Tremaux,30,392,M30_5.mz,"[14, 5"]
Modified,30,32,M30_5.mz,"[14, 5"]
Tremaux,30,471,M30_5.mz,"[14, 14"]
Modified,30,49,M30_5.mz,"[14, 14"]
Tremaux,30,70,M30_6.mz,"[0, 0"]
Modified,30,30,M30_6.mz,"[0, 0"]
Tremaux,30,371,M30_6.mz,"[0, 9"]
Modified,30,25,M30_6.mz,"[0, 9"]
Tremaux,30,146,M30_6.mz,"[0, 14"]
Modified,30,44,M30_6.mz,"[0, 14"]
Tremaux,30,273,M30_6.mz,"[5, 0"]
Modified,30,35,M30_6.mz,"[5, 0"]
Tremaux,30,422,M30_6.mz,"[5, 5"]
Modified,30,16,M30_6.mz,"[5, 5"]
Tremaux,30,46,M30_6.mz,"[5, 9"]
Modified,30,6,M30_6.mz,"[5, 9"]
Tremaux,30,242,M30_6.mz,"[9, 5"]
Modified,30,26,M30_6.mz,"[9, 5"]
Tremaux,30,2,M30_6.mz,"[9, 9"]
Modified,30,2,M30_6.mz,"[9, 9"]
Tremaux,30,175,M30_6.mz,"[9, 14"]
Modified,30,53,M30_6.mz,"[9, 14"]
Tremaux,30,164,M30_6.mz,"[14, 0"]
Modified,30,24,M30_6.mz,"[14, 0"]
Tremaux,30,291,M30_6.mz,"[14, 5"]
Modified,30,23,M30_6.mz,"[14, 5"]
Tremaux,30,216,M30_6.mz,"[14, 14"]
Modified,30,60,M30_6.mz,"[14, 14"]
Tremaux,30,483,M30_7.mz,"[0, 0"]
Modified,30,49,M30_7.mz,"[0, 0"]
Tremaux,30,272,M30_7.mz,"[0, 9"]
Modified,30,144,M30_7.mz,"[0, 9"]
Tremaux,30,387,M30_7.mz,"[0, 14"]
Modified,30,63,M30_7.mz,"[0, 14"]
Tremaux,30,454,M30_7.mz,"[5, 0"]
Modified,30,38,M30_7.mz,"[5, 0"]
Tremaux,30,269,M30_7.mz,"[5, 5"]
Modified,30,85,M30_7.mz,"[5, 5"]
Tremaux,30,191,M30_7.mz,"[5, 9"]
Modified,30,419,M30_7.mz,"[5, 9"]
Tremaux,30,415,M30_7.mz,"[9, 5"]
Modified,30,247,M30_7.mz,"[9, 5"]
Tremaux,30,15,M30_7.mz,"[9, 9"]
Modified,30,3,M30_7.mz,"[9, 9"]
Tremaux,30,98,M30_7.mz,"[9, 14"]
Modified,30,174,M30_7.mz,"[9, 14"]
Tremaux,30,257,M30_7.mz,"[14, 0"]
Modified,30,25,M30_7.mz,"[14, 0"]
Tremaux,30,480,M30_7.mz,"[14, 5"]
Modified,30,46,M30_7.mz,"[14, 5"]
Tremaux,30,201,M30_7.mz,"[14, 14"]
Modified,30,439,M30_7.mz,"[14, 14"]
Tremaux,30,357,M30_8.mz,"[0, 0"]
Modified,30,17,M30_8.mz,"[0, 0"]
Tremaux,30,224,M30_8.mz,"[0, 9"]
Modified,30,72,M30_8.mz,"[0, 9"]
Tremaux,30,177,M30_8.mz,"[0, 14"]
Modified,30,27,M30_8.mz,"[0, 14"]
Tremaux,30,30,M30_8.mz,"[5, 0"]
Modified,30,14,M30_8.mz,"[5, 0"]
Tremaux,30,401,M30_8.mz,"[5, 5"]
Modified,30,9,M30_8.mz,"[5, 5"]
Tremaux,30,351,M30_8.mz,"[5, 9"]
Modified,30,11,M30_8.mz,"[5, 9"]
Tremaux,30,97,M30_8.mz,"[9, 5"]
Modified,30,15,M30_8.mz,"[9, 5"]
Tremaux,30,101,M30_8.mz,"[9, 9"]
Modified,30,17,M30_8.mz,"[9, 9"]
Tremaux,30,104,M30_8.mz,"[9, 14"]
Modified,30,202,M30_8.mz,"[9, 14"]
Tremaux,30,421,M30_8.mz,"[14, 0"]
Modified,30,51,M30_8.mz,"[14, 0"]
Tremaux,30,464,M30_8.mz,"[14, 5"]
Modified,30,44,M30_8.mz,"[14, 5"]
Tremaux,30,433,M30_8.mz,"[14, 14"]
Modified,30,203,M30_8.mz,"[14, 14"]
Tremaux,30,54,M30_9.mz,"[0, 0"]
Modified,30,30,M30_9.mz,"[0, 0"]
Tremaux,30,471,M30_9.mz,"[0, 9"]
Modified,30,305,M30_9.mz,"[0, 9"]
Tremaux,30,424,M30_9.mz,"[0, 14"]
Modified,30,34,M30_9.mz,"[0, 14"]
Tremaux,30,11,M30_9.mz,"[5, 0"]
Modified,30,13,M30_9.mz,"[5, 0"]
Tremaux,30,414,M30_9.mz,"[5, 5"]
Modified,30,10,M30_9.mz,"[5, 5"]
Tremaux,30,292,M30_9.mz,"[5, 9"]
Modified,30,22,M30_9.mz,"[5, 9"]
Tremaux,30,114,M30_9.mz,"[9, 5"]
Modified,30,134,M30_9.mz,"[9, 5"]
Tremaux,30,336,M30_9.mz,"[9, 9"]
Modified,30,22,M30_9.mz,"[9, 9"]
Tremaux,30,435,M30_9.mz,"[9, 14"]
Modified,30,35,M30_9.mz,"[9, 14"]
Tremaux,30,344,M30_9.mz,"[14, 0"]
Modified,30,164,M30_9.mz,"[14, 0"]
Tremaux,30,435,M30_9.mz,"[14, 5"]
Modified,30,43,M30_9.mz,"[14, 5"]
Tremaux,30,60,M30_9.mz,"[14, 14"]
Modified,30,46,M30_9.mz,"[14, 14"]
Tremaux,60,159,M60_1.mz,"[0, 0"]
Modified,60,91,M60_1.mz,"[0, 0"]
Tremaux,60,385,M60_1.mz,"[0, 14"]
Modified,60,13,M60_1.mz,"[0, 14"]
Tremaux,60,43,M60_1.mz,"[2, 10"]
Modified,60,33,M60_1.mz,"[2, 10"]
Tremaux,60,81,M60_1.mz,"[4, 2"]
Modified,60,73,M60_1.mz,"[4, 2"]
Tremaux,60,34,M60_1.mz,"[6, 7"]
Modified,60,34,M60_1.mz,"[6, 7"]
Tremaux,60,280,M60_1.mz,"[7, 6"]
Modified,60,32,M60_1.mz,"[7, 6"]
Tremaux,60,442,M60_1.mz,"[7, 8"]
Modified,60,28,M60_1.mz,"[7, 8"]
Tremaux,60,442,M60_1.mz,"[8, 7"]
