Algorithm,Connectivity,Steps,File,Start
Modified,60,30,M60_1.mz,"[8, 7"]
Tremaux,60,19,M60_1.mz,"[10, 12"]
Modified,60,19,M60_1.mz,"[10, 12"]
Tremaux,60,121,M60_1.mz,"[12, 4"]
Modified,60,35,M60_1.mz,"[12, 4"]
Tremaux,60,131,M60_1.mz,"[14, 0"]
Modified,60,131,M60_1.mz,"[14, 0"]
Tremaux,60,141,M60_1.mz,"[14, 14"]
Modified,60,7,M60_1.mz,"[14, 14"]
Tremaux,60,135,M60_10.mz,"[0, 0"]
Modified,60,263,M60_10.mz,"[0, 0"]
Tremaux,60,97,M60_10.mz,"[0, 14"]
Modified,60,189,M60_10.mz,"[0, 14"]
Tremaux,60,171,M60_10.mz,"[2, 10"]
Modified,60,169,M60_10.mz,"[2, 10"]
Tremaux,60,239,M60_10.mz,"[4, 2"]
Modified,60,195,M60_10.mz,"[4, 2"]
Tremaux,60,310,M60_10.mz,"[6, 7"]
Modified,60,398,M60_10.mz,"[6, 7"]
Tremaux,60,168,M60_10.mz,"[7, 6"]
Modified,60,148,M60_10.mz,"[7, 6"]
Tremaux,60,292,M60_10.mz,"[7, 8"]
Modified,60,162,M60_10.mz,"[7, 8"]
Tremaux,60,74,M60_10.mz,"[8, 7"]
Modified,60,390,M60_10.mz,"[8, 7"]
Tremaux,60,101,M60_10.mz,"[10, 12"]
Modified,60,43,M60_10.mz,"[10, 12"]
Tremaux,60,19,M60_10.mz,"[12, 4"]
Modified,60,95,M60_10.mz,"[12, 4"]
Tremaux,60,357,M60_10.mz,"[14, 0"]
Modified,60,425,M60_10.mz,"[14, 0"]
Tremaux,60,409,M60_10.mz,"[14, 14"]
Modified,60,41,M60_10.mz,"[14, 14"]
Tremaux,60,231,M60_2.mz,"[0, 0"]
Modified,60,349,M60_2.mz,"[0, 0"]
Tremaux,60,125,M60_2.mz,"[0, 14"]
Modified,60,255,M60_2.mz,"[0, 14"]
Tremaux,60,291,M60_2.mz,"[2, 10"]
Modified,60,323,M60_2.mz,"[2, 10"]
Tremaux,60,167,M60_2.mz,"[4, 2"]
Modified,60,25,M60_2.mz,"[4, 2"]
Tremaux,60,184,M60_2.mz,"[6, 7"]
Modified,60,452,M60_2.mz,"[6, 7"]
Tremaux,60,252,M60_2.mz,"[7, 6"]
Modified,60,106,M60_2.mz,"[7, 6"]
Tremaux,60,132,M60_2.mz,"[7, 8"]
Modified,60,158,M60_2.mz,"[7, 8"]
Tremaux,60,38,M60_2.mz,"[8, 7"]
Modified,60,160,M60_2.mz,"[8, 7"]
Tremaux,60,121,M60_2.mz,"[10, 12"]
Modified,60,77,M60_2.mz,"[10, 12"]
Tremaux,60,25,M60_2.mz,"[12, 4"]
Modified,60,21,M60_2.mz,"[12, 4"]
Tremaux,60,45,M60_2.mz,"[14, 0"]
Modified,60,43,M60_2.mz,"[14, 0"]
Tremaux,60,133,M60_2.mz,"[14, 14"]
Modified,60,89,M60_2.mz,"[14, 14"]
Tremaux,60,21,M60_3.mz,"[0, 0"]
Modified,60,75,M60_3.mz,"[0, 0"]
Tremaux,60,257,M60_3.mz,"[0, 14"]
Modified,60,99,M60_3.mz,"[0, 14"]
Tremaux,60,229,M60_3.mz,"[2, 10"]
Modified,60,11,M60_3.mz,"[2, 10"]
Tremaux,60,165,M60_3.mz,"[4, 2"]
Modified,60,11,M60_3.mz,"[4, 2"]
Tremaux,60,106,M60_3.mz,"[6, 7"]
Modified,60,52,M60_3.mz,"[6, 7"]
Tremaux,60,360,M60_3.mz,"[7, 6"]
Modified,60,24,M60_3.mz,"[7, 6"]
Tremaux,60,436,M60_3.mz,"[7, 8"]
Modified,60,36,M60_3.mz,"[7, 8"]
Tremaux,60,378,M60_3.mz,"[8, 7"]
Modified,60,36,M60_3.mz,"[8, 7"]
Tremaux,60,321,M60_3.mz,"[10, 12"]
Modified,60,39,M60_3.mz,"[10, 12"]
Tremaux,60,343,M60_3.mz,"[12, 4"]
Modified,60,53,M60_3.mz,"[12, 4"]
Tremaux,60,413,M60_3.mz,"[14, 0"]
Modified,60,161,M60_3.mz,"[14, 0"]
Tremaux,60,395,M60_3.mz,"[14, 14"]
Modified,60,53,M60_3.mz,"[14, 14"]
Tremaux,60,309,M60_4.mz,"[0, 0"]
Modified,60,87,M60_4.mz,"[0, 0"]
Tremaux,60,289,M60_4.mz,"[0, 14"]
Modified,60,375,M60_4.mz,"[0, 14"]
Tremaux,60,419,M60_4.mz,"[2, 10"]
Modified,60,375,M60_4.mz,"[2, 10"]
Tremaux,60,115,M60_4.mz,"[4, 2"]
Modified,60,57,M60_4.mz,"[4, 2"]
Tremaux,60,460,M60_4.mz,"[6, 7"]
Modified,60,24,M60_4.mz,"[6, 7"]
Tremaux,60,278,M60_4.mz,"[7, 6"]
Modified,60,322,M60_4.mz,"[7, 6"]
Tremaux,60,20,M60_4.mz,"[7, 8"]
Modified,60,32,M60_4.mz,"[7, 8"]
Tremaux,60,36,M60_4.mz,"[8, 7"]
Modified,60,32,M60_4.mz,"[8, 7"]
Tremaux,60,411,M60_4.mz,"[10, 12"]
Modified,60,177,M60_4.mz,"[10, 12"]
Tremaux,60,193,M60_4.mz,"[12, 4"]
Modified,60,75,M60_4.mz,"[12, 4"]
Tremaux,60,375,M60_4.mz,"[14, 0"]
Modified,60,91,M60_4.mz,"[14, 0"]
Tremaux,60,211,M60_4.mz,"[14, 14"]
Modified,60,63,M60_4.mz,"[14, 14"]
Tremaux,60,478,M60_5.mz,"[0, 0"]
Modified,60,22,M60_5.mz,"[0, 0"]
Tremaux,60,250,M60_5.mz,"[0, 14"]
Modified,60,92,M60_5.mz,"[0, 14"]
Tremaux,60,238,M60_5.mz,"[2, 10"]
Modified,60,90,M60_5.mz,"[2, 10"]
Tremaux,60,392,M60_5.mz,"[4, 2"]
Modified,60,46,M60_5.mz,"[4, 2"]
Tremaux,60,175,M60_5.mz,"[6, 7"]
Modified,60,3,M60_5.mz,"[6, 7"]
Tremaux,60,337,M60_5.mz,"[7, 6"]
Modified,60,9,M60_5.mz,"[7, 6"]
Tremaux,60,255,M60_5.mz,"[7, 8"]
Modified,60,9,M60_5.mz,"[7, 8"]
Tremaux,60,169,M60_5.mz,"[8, 7"]
Modified,60,5,M60_5.mz,"[8, 7"]
Tremaux,60,352,M60_5.mz,"[10, 12"]
Modified,60,84,M60_5.mz,"[10, 12"]
Tremaux,60,394,M60_5.mz,"[12, 4"]
Modified,60,20,M60_5.mz,"[12, 4"]
Tremaux,60,342,M60_5.mz,"[14, 0"]
Modified,60,22,M60_5.mz,"[14, 0"]
Tremaux,60,418,M60_5.mz,"[14, 14"]
Modified,60,158,M60_5.mz,"[14, 14"]
Tremaux,60,422,M60_6.mz,"[0, 0"]
Modified,60,34,M60_6.mz,"[0, 0"]
Tremaux,60,246,M60_6.mz,"[0, 14"]
Modified,60,368,M60_6.mz,"[0, 14"]
Tremaux,60,350,M60_6.mz,"[2, 10"]
Modified,60,358,M60_6.mz,"[2, 10"]
Tremaux,60,124,M60_6.mz,"[4, 2"]
Modified,60,260,M60_6.mz,"[4, 2"]
Tremaux,60,157,M60_6.mz,"[6, 7"]
Modified,60,279,M60_6.mz,"[6, 7"]
Tremaux,60,481,M60_6.mz,"[7, 6"]
Modified,60,7,M60_6.mz,"[7, 6"]
Tremaux,60,251,M60_6.mz,"[7, 8"]
Modified,60,289,M60_6.mz,"[7, 8"]
Tremaux,60,131,M60_6.mz,"[8, 7"]
Modified,60,177,M60_6.mz,"[8, 7"]
Tremaux,60,234,M60_6.mz,"[10, 12"]
Modified,60,300,M60_6.mz,"[10, 12"]
Tremaux,60,32,M60_6.mz,"[12, 4"]
Modified,60,14,M60_6.mz,"[12, 4"]
Tremaux,60,424,M60_6.mz,"[14, 0"]
Modified,60,24,M60_6.mz,"[14, 0"]
Tremaux,60,284,M60_6.mz,"[14, 14"]
Modified,60,238,M60_6.mz,"[14, 14"]
Tremaux,60,347,M60_7.mz,"[0, 0"]
Modified,60,65,M60_7.mz,"[0, 0"]
Tremaux,60,463,M60_7.mz,"[0, 14"]
Modified,60,13,M60_7.mz,"[0, 14"]
Tremaux,60,351,M60_7.mz,"[2, 10"]
Modified,60,21,M60_7.mz,"[2, 10"]
Tremaux,60,363,M60_7.mz,"[4, 2"]
Modified,60,73,M60_7.mz,"[4, 2"]
Tremaux,60,28,M60_7.mz,"[6, 7"]
Modified,60,392,M60_7.mz,"[6, 7"]
Tremaux,60,178,M60_7.mz,"[7, 6"]
Modified,60,50,M60_7.mz,"[7, 6"]
Tremaux,60,34,M60_7.mz,"[7, 8"]
Modified,60,394,M60_7.mz,"[7, 8"]
Tremaux,60,278,M60_7.mz,"[8, 7"]
Modified,60,74,M60_7.mz,"[8, 7"]
Tremaux,60,285,M60_7.mz,"[10, 12"]
Modified,60,21,M60_7.mz,"[10, 12"]
Tremaux,60,287,M60_7.mz,"[12, 4"]
Modified,60,81,M60_7.mz,"[12, 4"]
Tremaux,60,185,M60_7.mz,"[14, 0"]
Modified,60,105,M60_7.mz,"[14, 0"]
Tremaux,60,39,M60_7.mz,"[14, 14"]
Modified,60,45,M60_7.mz,"[14, 14"]
Tremaux,60,178,M60_8.mz,"[0, 0"]
Modified,60,10,M60_8.mz,"[0, 0"]
Tremaux,60,196,M60_8.mz,"[0, 14"]
Modified,60,56,M60_8.mz,"[0, 14"]
Tremaux,60,20,M60_8.mz,"[2, 10"]
Modified,60,48,M60_8.mz,"[2, 10"]
Tremaux,60,182,M60_8.mz,"[4, 2"]
Modified,60,194,M60_8.mz,"[4, 2"]
Tremaux,60,409,M60_8.mz,"[6, 7"]
Modified,60,121,M60_8.mz,"[6, 7"]
Tremaux,60,397,M60_8.mz,"[7, 6"]
Modified,60,41,M60_8.mz,"[7, 6"]
Tremaux,60,349,M60_8.mz,"[7, 8"]
Modified,60,63,M60_8.mz,"[7, 8"]
Tremaux,60,145,M60_8.mz,"[8, 7"]
Modified,60,59,M60_8.mz,"[8, 7"]
Tremaux,60,308,M60_8.mz,"[10, 12"]
Modified,60,112,M60_8.mz,"[10, 12"]
Tremaux,60,52,M60_8.mz,"[12, 4"]
Modified,60,54,M60_8.mz,"[12, 4"]
Tremaux,60,458,M60_8.mz,"[14, 0"]
Modified,60,42,M60_8.mz,"[14, 0"]
Tremaux,60,222,M60_8.mz,"[14, 14"]
Modified,60,76,M60_8.mz,"[14, 14"]
Tremaux,60,11,M60_9.mz,"[0, 0"]
Modified,60,3,M60_9.mz,"[0, 0"]
Tremaux,60,283,M60_9.mz,"[0, 14"]
Modified,60,61,M60_9.mz,"[0, 14"]
Tremaux,60,351,M60_9.mz,"[2, 10"]
Modified,60,39,M60_9.mz,"[2, 10"]
Tremaux,60,87,M60_9.mz,"[4, 2"]
Modified,60,83,M60_9.mz,"[4, 2"]
Tremaux,60,68,M60_9.mz,"[6, 7"]
Modified,60,62,M60_9.mz,"[6, 7"]
Tremaux,60,346,M60_9.mz,"[7, 6"]
Modified,60,42,M60_9.mz,"[7, 6"]
Tremaux,60,406,M60_9.mz,"[7, 8"]
Modified,60,36,M60_9.mz,"[7, 8"]
Tremaux,60,84,M60_9.mz,"[8, 7"]
Modified,60,56,M60_9.mz,"[8, 7"]
Tremaux,60,403,M60_9.mz,"[10, 12"]
Modified,60,189,M60_9.mz,"[10, 12"]
Tremaux,60,219,M60_9.mz,"[12, 4"]
Modified,60,111,M60_9.mz,"[12, 4"]
Tremaux,60,285,M60_9.mz,"[14, 0"]
Modified,60,95,M60_9.mz,"[14, 0"]
Tremaux,60,335,M60_9.mz,"[14, 14"]
Modified,60,103,M60_9.mz,"[14, 14"]
Tremaux,100,392,M100_1.mz,"[0, 13"]
Modified,100,34,M100_1.mz,"[0, 13"]
Tremaux,100,98,M100_1.mz,"[1, 0"]
Modified,100,86,M100_1.mz,"[1, 0"]
Tremaux,100,411,M100_1.mz,"[1, 11"]
Modified,100,73,M100_1.mz,"[1, 11"]
Tremaux,100,345,M100_1.mz,"[3, 1"]
Modified,100,105,M100_1.mz,"[3, 1"]
Tremaux,100,138,M100_1.mz,"[6, 7"]
Modified,100,42,M100_1.mz,"[6, 7"]
Tremaux,100,420,M100_1.mz,"[7, 6"]
Modified,100,12,M100_1.mz,"[7, 6"]
Tremaux,100,6,M100_1.mz,"[7, 8"]
Modified,100,30,M100_1.mz,"[7, 8"]
Tremaux,100,232,M100_1.mz,"[8, 7"]
Modified,100,16,M100_1.mz,"[8, 7"]
Tremaux,100,317,M100_1.mz,"[11, 13"]
Modified,100,59,M100_1.mz,"[11, 13"]
Tremaux,100,249,M100_1.mz,"[13, 3"]
Modified,100,59,M100_1.mz,"[13, 3"]
Tremaux,100,344,M100_1.mz,"[13, 14"]
Modified,100,114,M100_1.mz,"[13, 14"]
Tremaux,100,64,M100_1.mz,"[14, 1"]
Modified,100,48,M100_1.mz,"[14, 1"]
Tremaux,100,170,M100_10.mz,"[0, 13"]
Modified,100,134,M100_10.mz,"[0, 13"]
Tremaux,100,40,M100_10.mz,"[1, 0"]
Modified,100,98,M100_10.mz,"[1, 0"]
Tremaux,100,245,M100_10.mz,"[1, 11"]
Modified,100,143,M100_10.mz,"[1, 11"]
Tremaux,100,121,M100_10.mz,"[3, 1"]
Modified,100,81,M100_10.mz,"[3, 1"]
Tremaux,100,310,M100_10.mz,"[6, 7"]
Modified,100,284,M100_10.mz,"[6, 7"]
Tremaux,100,284,M100_10.mz,"[7, 6"]
Modified,100,274,M100_10.mz,"[7, 6"]
Tremaux,100,120,M100_10.mz,"[7, 8"]
Modified,100,46,M100_10.mz,"[7, 8"]
Tremaux,100,254,M100_10.mz,"[8, 7"]
Modified,100,234,M100_10.mz,"[8, 7"]
Tremaux,100,131,M100_10.mz,"[11, 13"]
Modified,100,97,M100_10.mz,"[11, 13"]
Tremaux,100,1,M100_10.mz,"[13, 3"]
Modified,100,1,M100_10.mz,"[13, 3"]
Tremaux,100,266,M100_10.mz,"[13, 14"]
Modified,100,102,M100_10.mz,"[13, 14"]
Tremaux,100,34,M100_10.mz,"[14, 1"]
Modified,100,4,M100_10.mz,"[14, 1"]
Tremaux,100,116,M100_2.mz,"[0, 13"]
Modified,100,48,M100_2.mz,"[0, 13"]
Tremaux,100,236,M100_2.mz,"[1, 0"]
Modified,100,98,M100_2.mz,"[1, 0"]
Tremaux,100,407,M100_2.mz,"[1, 11"]
Modified,100,39,M100_2.mz,"[1, 11"]
Tremaux,100,325,M100_2.mz,"[3, 1"]
Modified,100,87,M100_2.mz,"[3, 1"]
Tremaux,100,440,M100_2.mz,"[6, 7"]
Modified,100,6,M100_2.mz,"[6, 7"]
Tremaux,100,22,M100_2.mz,"[7, 6"]
Modified,100,8,M100_2.mz,"[7, 6"]
Tremaux,100,312,M100_2.mz,"[7, 8"]
Modified,100,8,M100_2.mz,"[7, 8"]
Tremaux,100,10,M100_2.mz,"[8, 7"]
Modified,100,8,M100_2.mz,"[8, 7"]
Tremaux,100,255,M100_2.mz,"[11, 13"]
Modified,100,161,M100_2.mz,"[11, 13"]
Tremaux,100,207,M100_2.mz,"[13, 3"]
Modified,100,85,M100_2.mz,"[13, 3"]
Tremaux,100,272,M100_2.mz,"[13, 14"]
Modified,100,130,M100_2.mz,"[13, 14"]
Tremaux,100,106,M100_2.mz,"[14, 1"]
Modified,100,98,M100_2.mz,"[14, 1"]
Tremaux,100,441,M100_3.mz,"[0, 13"]
Modified,100,5,M100_3.mz,"[0, 13"]
Tremaux,100,119,M100_3.mz,"[1, 0"]
Modified,100,115,M100_3.mz,"[1, 0"]
Tremaux,100,8,M100_3.mz,"[1, 11"]
Modified,100,4,M100_3.mz,"[1, 11"]
Tremaux,100,362,M100_3.mz,"[3, 1"]
Modified,100,134,M100_3.mz,"[3, 1"]
Tremaux,100,149,M100_3.mz,"[6, 7"]
Modified,100,157,M100_3.mz,"[6, 7"]
Tremaux,100,211,M100_3.mz,"[7, 6"]
Modified,100,65,M100_3.mz,"[7, 6"]
Tremaux,100,163,M100_3.mz,"[7, 8"]
Modified,100,145,M100_3.mz,"[7, 8"]
Tremaux,100,215,M100_3.mz,"[8, 7"]
Modified,100,53,M100_3.mz,"[8, 7"]
Tremaux,100,76,M100_3.mz,"[11, 13"]
Modified,100,252,M100_3.mz,"[11, 13"]
Tremaux,100,196,M100_3.mz,"[13, 3"]
Modified,100,72,M100_3.mz,"[13, 3"]
Tremaux,100,51,M100_3.mz,"[13, 14"]
Modified,100,61,M100_3.mz,"[13, 14"]
Tremaux,100,291,M100_3.mz,"[14, 1"]
Modified,100,89,M100_3.mz,"[14, 1"]
Tremaux,100,254,M100_4.mz,"[0, 13"]
Modified,100,96,M100_4.mz,"[0, 13"]
Tremaux,100,108,M100_4.mz,"[1, 0"]
Modified,100,88,M100_4.mz,"[1, 0"]
Tremaux,100,251,M100_4.mz,"[1, 11"]
Modified,100,69,M100_4.mz,"[1, 11"]
Tremaux,100,111,M100_4.mz,"[3, 1"]
Modified,100,111,M100_4.mz,"[3, 1"]
Tremaux,100,264,M100_4.mz,"[6, 7"]
Modified,100,68,M100_4.mz,"[6, 7"]
Tremaux,100,110,M100_4.mz,"[7, 6"]
Modified,100,352,M100_4.mz,"[7, 6"]
Tremaux,100,346,M100_4.mz,"[7, 8"]
Modified,100,92,M100_4.mz,"[7, 8"]
Tremaux,100,352,M100_4.mz,"[8, 7"]
Modified,100,340,M100_4.mz,"[8, 7"]
Tremaux,100,13,M100_4.mz,"[11, 13"]
Modified,100,253,M100_4.mz,"[11, 13"]
Tremaux,100,159,M100_4.mz,"[13, 3"]
Modified,100,47,M100_4.mz,"[13, 3"]
Tremaux,100,260,M100_4.mz,"[13, 14"]
Modified,100,256,M100_4.mz,"[13, 14"]
Tremaux,100,128,M100_4.mz,"[14, 1"]
Modified,100,140,M100_4.mz,"[14, 1"]
Tremaux,100,348,M100_5.mz,"[0, 13"]
Modified,100,142,M100_5.mz,"[0, 13"]
Tremaux,100,380,M100_5.mz,"[1, 0"]
Modified,100,62,M100_5.mz,"[1, 0"]
Tremaux,100,329,M100_5.mz,"[1, 11"]
Modified,100,139,M100_5.mz,"[1, 11"]
Tremaux,100,93,M100_5.mz,"[3, 1"]
Modified,100,55,M100_5.mz,"[3, 1"]
Tremaux,100,250,M100_5.mz,"[6, 7"]
Modified,100,166,M100_5.mz,"[6, 7"]
Tremaux,100,208,M100_5.mz,"[7, 6"]
Modified,100,48,M100_5.mz,"[7, 6"]
Tremaux,100,326,M100_5.mz,"[7, 8"]
Modified,100,78,M100_5.mz,"[7, 8"]
Tremaux,100,422,M100_5.mz,"[8, 7"]
Modified,100,216,M100_5.mz,"[8, 7"]
Tremaux,100,191,M100_5.mz,"[11, 13"]
Modified,100,257,M100_5.mz,"[11, 13"]
Tremaux,100,29,M100_5.mz,"[13, 3"]
Modified,100,23,M100_5.mz,"[13, 3"]
Tremaux,100,174,M100_5.mz,"[13, 14"]
Modified,100,12,M100_5.mz,"[13, 14"]
Tremaux,100,320,M100_5.mz,"[14, 1"]
Modified,100,122,M100_5.mz,"[14, 1"]
Tremaux,100,237,M100_6.mz,"[0, 13"]
Modified,100,221,M100_6.mz,"[0, 13"]
Tremaux,100,339,M100_6.mz,"[1, 0"]
Modified,100,235,M100_6.mz,"[1, 0"]
Tremaux,100,244,M100_6.mz,"[1, 11"]
Modified,100,216,M100_6.mz,"[1, 11"]
Tremaux,100,236,M100_6.mz,"[3, 1"]
Modified,100,156,M100_6.mz,"[3, 1"]
Tremaux,100,353,M100_6.mz,"[6, 7"]
Modified,100,11,M100_6.mz,"[6, 7"]
Tremaux,100,71,M100_6.mz,"[7, 6"]
Modified,100,65,M100_6.mz,"[7, 6"]
Tremaux,100,79,M100_6.mz,"[7, 8"]
Modified,100,79,M100_6.mz,"[7, 8"]
Tremaux,100,405,M100_6.mz,"[8, 7"]
Modified,100,17,M100_6.mz,"[8, 7"]
Tremaux,100,94,M100_6.mz,"[11, 13"]
Modified,100,94,M100_6.mz,"[11, 13"]
Tremaux,100,316,M100_6.mz,"[13, 3"]
Modified,100,284,M100_6.mz,"[13, 3"]
Tremaux,100,377,M100_6.mz,"[13, 14"]
Modified,100,401,M100_6.mz,"[13, 14"]
Tremaux,100,63,M100_6.mz,"[14, 1"]
Modified,100,337,M100_6.mz,"[14, 1"]
Tremaux,100,207,M100_7.mz,"[0, 13"]
Modified,100,231,M100_7.mz,"[0, 13"]
Tremaux,100,147,M100_7.mz,"[1, 0"]
Modified,100,153,M100_7.mz,"[1, 0"]
Tremaux,100,292,M100_7.mz,"[1, 11"]
Modified,100,234,M100_7.mz,"[1, 11"]
Tremaux,100,272,M100_7.mz,"[3, 1"]
Modified,100,180,M100_7.mz,"[3, 1"]
Tremaux,100,299,M100_7.mz,"[6, 7"]
Modified,100,201,M100_7.mz,"[6, 7"]
Tremaux,100,391,M100_7.mz,"[7, 6"]
Modified,100,19,M100_7.mz,"[7, 6"]
Tremaux,100,221,M100_7.mz,"[7, 8"]
Modified,100,131,M100_7.mz,"[7, 8"]
Tremaux,100,365,M100_7.mz,"[8, 7"]
Modified,100,11,M100_7.mz,"[8, 7"]
Tremaux,100,134,M100_7.mz,"[11, 13"]
Modified,100,70,M100_7.mz,"[11, 13"]
Tremaux,100,42,M100_7.mz,"[13, 3"]
Modified,100,32,M100_7.mz,"[13, 3"]
Tremaux,100,123,M100_7.mz,"[13, 14"]
Modified,100,63,M100_7.mz,"[13, 14"]
Tremaux,100,51,M100_7.mz,"[14, 1"]
Modified,100,25,M100_7.mz,"[14, 1"]
Tremaux,100,430,M100_8.mz,"[0, 13"]
Modified,100,16,M100_8.mz,"[0, 13"]
Tremaux,100,64,M100_8.mz,"[1, 0"]
Modified,100,22,M100_8.mz,"[1, 0"]
Tremaux,100,257,M100_8.mz,"[1, 11"]
Modified,100,13,M100_8.mz,"[1, 11"]
Tremaux,100,329,M100_8.mz,"[3, 1"]
Modified,100,49,M100_8.mz,"[3, 1"]
Tremaux,100,274,M100_8.mz,"[6, 7"]
Modified,100,156,M100_8.mz,"[6, 7"]
Tremaux,100,28,M100_8.mz,"[7, 6"]
Modified,100,130,M100_8.mz,"[7, 6"]
Tremaux,100,158,M100_8.mz,"[7, 8"]
Modified,100,158,M100_8.mz,"[7, 8"]
Tremaux,100,402,M100_8.mz,"[8, 7"]
Modified,100,132,M100_8.mz,"[8, 7"]
Tremaux,100,231,M100_8.mz,"[11, 13"]
Modified,100,191,M100_8.mz,"[11, 13"]
Tremaux,100,245,M100_8.mz,"[13, 3"]
Modified,100,93,M100_8.mz,"[13, 3"]
Tremaux,100,308,M100_8.mz,"[13, 14"]
Modified,100,116,M100_8.mz,"[13, 14"]
Tremaux,100,184,M100_8.mz,"[14, 1"]
Modified,100,122,M100_8.mz,"[14, 1"]
Tremaux,100,443,M100_9.mz,"[0, 13"]
Modified,100,9,M100_9.mz,"[0, 13"]
Tremaux,100,71,M100_9.mz,"[1, 0"]
Modified,100,51,M100_9.mz,"[1, 0"]
Tremaux,100,0,M100_9.mz,"[1, 11"]
Modified,100,0,M100_9.mz,"[1, 11"]
Tremaux,100,92,M100_9.mz,"[3, 1"]
Modified,100,54,M100_9.mz,"[3, 1"]
Tremaux,100,327,M100_9.mz,"[6, 7"]
Modified,100,311,M100_9.mz,"[6, 7"]
Tremaux,100,281,M100_9.mz,"[7, 6"]
Modified,100,189,M100_9.mz,"[7, 6"]
Tremaux,100,321,M100_9.mz,"[7, 8"]
Modified,100,13,M100_9.mz,"[7, 8"]
Tremaux,100,195,M100_9.mz,"[8, 7"]
Modified,100,185,M100_9.mz,"[8, 7"]
Tremaux,100,46,M100_9.mz,"[11, 13"]
Modified,100,18,M100_9.mz,"[11, 13"]
Tremaux,100,120,M100_9.mz,"[13, 3"]
Modified,100,216,M100_9.mz,"[13, 3"]
Tremaux,100,379,M100_9.mz,"[13, 14"]
Modified,100,17,M100_9.mz,"[13, 14"]
